Category	Name	Address	City	State	PostalCode
Anonimize	Mcmillan Township Library	200 Cedar Street	Ewen	MI	49925
Anonimize	Ira Township Library	7013 Meldrum Road	Fair Haven	MI	
Anonimize	Fairgrove District Library	1959 Main Street	Fairgrove	MI	48733
Anonimize	Falmouth Area Library	219 East Prosper Road	Falmouth	MI	49632
Anonimize	Farmington Branch Library	23500 Liberty Street	Farmington	MI	
Anonimize	Farmington Community Library	32737 West 12 Mile Road	Farmington Hills	MI	48334
Anonimize	Surrey Township Public Library	105 East Michigan Street	Farwell	MI	48622
Anonimize	North Dickinson Branch		Felch	MI	
Anonimize	Fennville District Library	400 West Main Street	Fennville	MI	49408
Anonimize	Fenton Childrens Center	200 East Caroline Street	Fenton	MI	
Anonimize	Fenton-Jack R. Winegarden Library	200 East Caroline Street	Fenton	MI	
Anonimize	Palo Community School District Public Library	8315 Mill Street	Fenwick	MI	48870
Anonimize	Ferndale Public Library	222 East Nine Mile Road	Ferndale	MI	48220
Anonimize	Royal Oak Township Public Library	21131 Garden Lane	Ferndale	MI	48220
Anonimize	Fife Lake Public Library	77 Lakecrest Lane	Fife Lake	MI	49633
Anonimize	Flat Rock Public Library	25200 Gibraltar Road	Flat Rock	MI	48134
Anonimize	Beecher Vera B. Rison Library	1386 West Coldwater Road	Flint	MI	
Anonimize	Flint District Library	1026 East Kearsley Street	Flint	MI	48503
Anonimize	Flint Township-Mccarty Library	2071 South Graham Road	Flint	MI	
Anonimize	Genesee District Library		Flint	MI	48504
Anonimize	Genesee Valley Demonstration Location	3517 South Linden Road	Flint	MI	
Anonimize	Flushing Area Library	120 North Maple Street	Flushing	MI	
Anonimize	Watertown Township Library	9405 Foster Street	Fostoria	MI	48435
Anonimize	Fowlerville District Library	131 Mill Street	Fowlerville	MI	48836
Anonimize	James E. Wickson Memorial Library	359 South Franklin Street	Frankenmuth	MI	48734
Anonimize	Benzie Shores District Library	630 Main Street	Frankfort	MI	49635
Anonimize	Franklin Public Library	32455 Franklin Road	Franklin	MI	48025
Anonimize	Fraser Public Library	16330 East Fourteen Mile Road	Fraser	MI	48026
Anonimize	Frederic Community Library	6872 Old 27	Frederic	MI	
Anonimize	Freeport District Library	208 South State Street	Freeport	MI	49325
Anonimize	Fremont Area District Library	104 East Main Street	Fremont	MI	49412
Anonimize	Fruitport Branch Library		Fruitport	MI	
Anonimize	Gaines Station Library	103 East Walker	Gaines	MI	
Anonimize	Galesburg Memorial Library	188 East Michigan Avenue	Galesburg	MI	49053
Anonimize	Galien Township Public Library	302 North Cleveland Avenue	Galien	MI	49113
Anonimize	Garden City Public Library	31735 Maplewood Street	Garden City	MI	48135
Anonimize	Otsego County Library	700 South Otsego Avenue	Gaylord	MI	49735
Anonimize	Genesee Township-Johnson Memorial Library	7397 North Genesee Road	Genesee	MI	
Anonimize	Gladstone Area School Public Library	300 South Tenth Street	Gladstone	MI	49837
Anonimize	Gladwin County District Library	402 James Robertson Drive	Gladwin	MI	48624
Anonimize	Curtis Township Library	4884 Bamfield Road	Glennie	MI	48737
Anonimize	Gobles Branch Library	105 East Main	Gobles	MI	
Anonimize	Goodrich Library	10237 Hegel Road	Goodrich	MI	
Anonimize	Kent District Library - Spencer Township	14960 Meddler Avenue	Gowen	MI	49326
Anonimize	Grand Blanc-Mcfarlen Library	515 Perry Road	Grand Blanc	MI	
Anonimize	Loutit District Library	407 Columbus Avenue	Grand Haven	MI	49417
Anonimize	Grand Ledge Area District Library	131 East Jefferson Street	Grand Ledge	MI	48837
Anonimize	Grand Ledge Area District Library At Wacousta	13080 Wacousta Road	Grand Ledge	MI	
Anonimize	Grand Rapids Public Library	"111 Library Street, Ne"	Grand Rapids	MI	49503
Anonimize	Kent District Library - Cascade Township	"2870 Jacksmith Ave., Se"	Grand Rapids	MI	49546
Anonimize	Kent District Library - Gaines Township	421 68th Street Se	Grand Rapids	MI	49548
Anonimize	Kent District Library - Plainfield	2650 Five Mile Road Ne	Grand Rapids	MI	49525
Anonimize	Madison Square Branch Library	1201 Madison Se	Grand Rapids	MI	
Anonimize	Ottawa Hills Branch Library	1150 Giddings Avenue Se	Grand Rapids	MI	
Anonimize	Seymour Branch Library	2350 Eastern Avenue Se	Grand Rapids	MI	
Anonimize	Vanbelkum Branch At Creston	1563 Plainfield Ne	Grand Rapids	MI	
Anonimize	West Leonard Branch	1017 Leonard Nw	Grand Rapids	MI	
Anonimize	West Side Branch Library	713 Bridge Street Nw	Grand Rapids	MI	
Anonimize	Yankee Clipper Branch Library	2025 Leonard Street Ne	Grand Rapids	MI	
Anonimize	Kent District Library - Grandville	4055 Maple Street Sw	Grandville	MI	49418
Anonimize	Grant Area District Library	122 Elder Street	Grant	MI	49327
Anonimize	Grass Lake Branch Library	130 West Michigan	Grass Lake	MI	
Anonimize	Beaver Creek Township Library	8888 South Grayling Road	Grayling	MI	
Anonimize	Crawford County Library	201 Plum Street	Grayling	MI	49738
Anonimize	Lovells Township Library	8405 Twin Bridge Road	Grayling	MI	
Anonimize	Flat River Community Library	200 West Judd Street	Greenville	MI	48838
Anonimize	Grosse Pointe Public Library	10 Kercheval Avenue	Grosse Pointe Farms	MI	48236
Anonimize	Grosse Pointe Park Public Library	15430 Kercheval Street	Grosse Pointe Park	MI	
Anonimize	Grosse Pointe Woods Public Library	20600 Mack Avenue	Grosse Pointe Woods	MI	
Anonimize	Forsyth Township Public Library	184 West Flint Street	Gwinn	MI	49841
Anonimize	Hadley Branch Library	3556 Hadley Road	Hadley	MI	
Anonimize	Plainfield Township Branch Library	220 North Washington	Hale	MI	
Anonimize	Hamburg Township Library	10411 Merrill Road	Hamburg	MI	48139
Anonimize	Hamtramck Public Library	2360 Caniff Avenue	Hamtramck	MI	48212
Anonimize	Hancock School Public Library	501 Campus Drive	Hancock	MI	49930
Anonimize	Hanover Branch Library	118 West Main Street	Hanover	MI	
Anonimize	Harbor Beach Area District Library	105 North Huron Avenue	Harbor Beach	MI	48441
Anonimize	Harper Woods Public Library	19601 Harper Avenue	Harper Woods	MI	48225
Anonimize	Harrison District Library	105 East Main Street	Harrison	MI	48625
Anonimize	Alcona County Library	312 West Main (M-72)	Harrisville	MI	48740
Anonimize	Hart Area Public Library	415 South State Street	Hart	MI	49420
Anonimize	Hartford Public Library	15 Franklin Street	Hartford	MI	49057
Anonimize	Cromaine District Library	3688 North Hartland Road	Hartland	MI	48353
Anonimize	Haslett Branch	5670 School Street	Haslett	MI	
Anonimize	Dowling Public Library	1765 East Dowling Road	Hastings	MI	49058
Anonimize	Hastings Public Library	227 East State Street	Hastings	MI	49058
Anonimize	Hazel Park Memorial Library	123 East Nine Mile Road	Hazel Park	MI	48030
Anonimize	Rauchholz Memorial Library	1140 North Hemlock Road	Hemlock	MI	48626
Anonimize	Hermansville Branch Library		Hermansville	MI	
Anonimize	Hesperia Community Library	80 South Division Street	Hesperia	MI	49421
Anonimize	Lyon Township Branch Library	"7851 W. Higgins Lake Drive, P.O. Bo"	Higgins Lake	MI	
Anonimize	Highland Township Public Library	444 Beach Farm Circle	Highland	MI	48356
Anonimize	Hillman-Wright Memorial Library	p.o. box 247	Hillman	MI	
Anonimize	Hillsdale Community Library	11 East Bacon Street	Hillsdale	MI	49242
Anonimize	Herrick District Library	300 South River Avenue	Holland	MI	49423
Anonimize	North Side Branch	155 Riley Street	Holland	MI	
Anonimize	Holly Township Library	1116 North Saginaw Street	Holly	MI	48442
Anonimize	Holt-Delhi Branch	2078 Aurelius Road	Holt	MI	
Anonimize	Holton Branch Library	8776 Holton-Duck Lake Road	Holton	MI	
Anonimize	Homer Public Library	141 West Main Street	Homer	MI	49245
Anonimize	Hopkins Public Library	118 East Main Street	Hopkins	MI	49328
Anonimize	Portage Lake District Library	58 Huron Street	Houghton	MI	49931
Anonimize	Houghton Lake Public Library	4431 West Houghton Lake Drive	Houghton Lake	MI	48629
Anonimize	Reynolds Township Library	215 East Edgerton Street	Howard City	MI	
Anonimize	Timothy C. Hauenstein Reynolds Township Library	117 West Williams Street	Howard City	MI	49329
Anonimize	Howell Carnegie District Library	314 West Grand River Avenue	Howell	MI	48843
Anonimize	Caledonia Branch Library	1499 Hubert Road	Hubbard Lake	MI	
Anonimize	Hudson Public Library	205 South Market Street	Hudson	MI	49247
Anonimize	Gary Byker Memorial Library Of Hudsonville	3338 Van Buren Street	Hudsonville	MI	49426
Anonimize	Huntington Woods Public Library	26415 Scotia Road	Huntington Woods	MI	48070
Anonimize	Ida Branch Library	3016 Lewis Avenue	Ida	MI	
Anonimize	Idlewild Public Library	473 East Baldwin Road	Idlewild	MI	49642
Anonimize	Goodland Branch Library	2370 North Van Dyke Road	Imlay City	MI	
Anonimize	Ruth Hughes Memorial District Library	211 North Almont Avenue	Imlay City	MI	48444
Anonimize	Indian River Area Library	3546 South Straits Highway	Indian River	MI	49749
Anonimize	Inkster Public Library	2005 Inkster Road	Inkster	MI	
Anonimize	Interlochen Public Library	9700 Riley Road	Interlochen	MI	49643
Anonimize	Hall-Fowler Memorial Library	126 East Main Street	Ionia	MI	48846
Anonimize	Ionia Community Library	126 East Main Street	Ionia	MI	48846
Anonimize	Dickinson County Library	401 Iron Mountain Street	Iron Mountain	MI	49801
Anonimize	West Iron District Library	116 West Genesee Street	Iron River	MI	49935
Anonimize	Ironwood Carnegie Library	235 East Aurora Street	Ironwood	MI	49938
Anonimize	Ishpeming Carnegie Public Library	317 North Main Street	Ishpeming	MI	49849
Anonimize	Thompson Home Public Library	125 West Center Street	Ithaca	MI	48847
Anonimize	Eastern Branch Library	3125 East Michigan Avenue	Jackson	MI	
Anonimize	Jackson District Library	244 West Michigan Avenue	Jackson	MI	49201
Anonimize	Meijer Branch Library	2699 Airport Road	Jackson	MI	
Anonimize	Summit Branch Library	104 Bird Avenue	Jackson	MI	
Anonimize	Patmos Library	2445 Riley Street	Jamestown	MI	49427
Anonimize	Georgetown Township Public Library	1525 Baldwin Street	Jenison	MI	49428
Anonimize	Johannesburg Branch Library	10900 East M-32	Johannesburg	MI	
Anonimize	Jonesville District Library	310 Church Street	Jonesville	MI	49250
Anonimize	Alma Powell Branch Library	1000 West Paterson Street	Kalamazoo	MI	
Anonimize	Eastwood Branch Library	1112 Gayle Avenue	Kalamazoo	MI	
Anonimize	Kalamazoo Public Library	315 South Rose Street	Kalamazoo	MI	49007
Anonimize	Oshtemo Branch Library	7265 West Main Street	Kalamazoo	MI	
Anonimize	Washington Square Branch Library	1244 Portage Street	Kalamazoo	MI	
Anonimize	Kaleva Branch Library	9200 Aura Street	Kaleva	MI	
Anonimize	Kalkaska County Library	247 South Cedar Street	Kalkaska	MI	49646
Anonimize	Kent District Library -Tyrone Township	43 South Main Street	Kent City	MI	49330
Anonimize	Kent District Library - Kentwood	4700 Kalamazoo Avenue Se	Kentwood	MI	49508
Anonimize	G. Lynn Campbell Township Library	1955 North Allen Road	Kimball	MI	
Anonimize	Rj Wallis Elementary Library	15901 Country Club Road	Kincheloe	MI	
Anonimize	Kingsley Public Library Branch	104 South Brownson Avenue	Kingsley	MI	
Anonimize	Jacquelin E. Opperman Memorial Library	5790 State Street	Kingston	MI	48741
Anonimize	Laingsburg Public Library	255 East Grand River Road	Laingsburg	MI	48848
Anonimize	Missaukee District Library	210 South Canal Street	Lake City	MI	49651
Anonimize	Lake Linden-Hubbell School Public Library	601 Calumet Street	Lake Linden	MI	49945
Anonimize	Lake Odessa Community Library	1007 Fourth Avenue	Lake Odessa	MI	48849
Anonimize	Orion Township Public Library	825 Joslyn Road	Lake Orion	MI	48362
Anonimize	Lakeport Book Deposit	7097 Second Street	Lakeport	MI	
Anonimize	Tamarack District Library	832 South Lincoln Avenue	Lakeview	MI	48850
Anonimize	Lanse Area School-Public Library	201 North 4th Street	Lanse	MI	49946
Anonimize	Capital Area District Library	401 South Capitol Avenue	Lansing	MI	48933
Anonimize	Delta Township District Library	5130 Davenport Drive	Lansing	MI	48917
Anonimize	Foster Branch	200 North Foster Avenue	Lansing	MI	
Anonimize	South Lansing Branch	"3500 South Cedar Street, Suite 108"	Lansing	MI	
Anonimize	Elba Branch Library	5508 Davison Road	Lapeer	MI	
Anonimize	Lapeer District Library	201 Village West Drive South	Lapeer	MI	48446
